Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos,estado
3,3,2,384,10159-M4412961,Tunja,750000000,Entre 5 y 10 años,384,1240,,2.0,venta_casa
2,1,4,30,10159-M4503712,Tunja,215000000,Entre 5 y 10 años,3073,4695,120000.0,1.0,venta_apartamento
3,3,3,140,10159-M4500954,Tunja,300000000,Más de 20 años,140,135,,1.0,venta_casa
2,2,4,52,10159-M3902572,Tunja,250000000,Entre 0 y 5 años,52,68,,,venta_apartamento
5,4,4,263,10159-M3883697,Tunja,579000000,Entre 10 y 20 años,263,258,,2.0,venta_casa
5,5,3,324,10159-M3971993,Las Nieves,694000000,Más de 20 años,324,310,,1.0,venta_casa
5,3,3,192,10159-M4892549,El Libertador,220000000,Más de 20 años,1925,1925,,2.0,venta_casa
3,3,3,126,10159-M4537886,Tunja,200000000,Entre 0 y 5 años,126,126,,2.0,venta_casa
3,3,5,195,12373-M4969123,Sanata Teresa,600000000,Entre 0 y 5 años,195,195,,1.0,venta_casa
4,3,4,280,3072-M3396101,las quintas,490000000,Entre 0 y 5 años,280,280,,1.0,venta_casa
5,4,4,290,10159-M4953361,Unicentro,670000000,Entre 0 y 5 años,290,270,250000.0,1.0,venta_casa
3,2,5,90,16742-M4811418,Terrazas  1  Club House,420000000,Entre 0 y 5 años,90,90,330000.0,1.0,venta_apartamento
5,5,4,720,11295-M3359954,MIRADOR EL LAGO,800000000,Entre 10 y 20 años,720,720,220000.0,1.0,venta_casa
4,3,5,138,836-M4786549,In Altezza,477000000,Entre 0 y 5 años,138,138,255000.0,2.0,venta_apartamento
3,2,5,110,16742-M4861324,MIRADOR DE LA COLINA,460000000,Entre 5 y 10 años,11075,11075,276000000.0,1.0,venta_apartamento
5,3,3,200,3072-M3786003,VILLA LUZ,320000000,Más de 20 años,200,200,20000.0,1.0,venta_casa
5,3,3,170,10159-M4958335,Tunja,300000000,Más de 20 años,170,170,,1.0,venta_casa
2,2,4,52,10159-M4830919,La Maria,219000000,Entre 5 y 10 años,5249,50,125500.0,1.0,venta_apartamento
3,2,3,92,11295-M4204386,EL PARAISO TUNJA,160000000,Entre 10 y 20 años,92,92,,1.0,venta_casa
3,2,3,71,3072-M4082468,las nieves,265000000,Entre 5 y 10 años,71,71,100000.0,1.0,venta_apartamento
4,3,3,94,10159-M4957787,Fuente Higueras,220000000,Entre 10 y 20 años,9498,9498,136000.0,1.0,venta_apartamento
2,2,4,53,12373-M4895493,Reserva Del Bosque Viva,235000000,Entre 0 y 5 años,53,53,190000.0,1.0,venta_apartamento
2,2,4,354,11295-M3359998,SAN FRANCISCO,530427129,Entre 10 y 20 años,354,354,,1.0,venta_casa
5,3,3,200,10159-M4261945,Las Nieves,480000000,Más de 20 años,200,250,,,venta_casa
4,4,5,232,12373-M4953579,Santa Ines,580000000,Entre 5 y 10 años,232,232,,1.0,venta_casa
2,2,5,54,10159-M4857077,Unicentro,227000000,Entre 0 y 5 años,54,51,215000.0,1.0,venta_apartamento
3,2,3,150,10159-M4958164,Santa Lucia,320000000,Más de 20 años,150,150,,,venta_casa
5,3,1,165,10159-M4848759,El Dorado,320000000,Entre 0 y 5 años,165,160,,,venta_casa
5,5,6,307,10159-M4838438,Zona Centro,3632000000,Más de 20 años,307,300,,,venta_casa
3,2,5,150,16742-M4962019,SANTA INES,500000000,Entre 10 y 20 años,150,150,,1.0,venta_casa
2,2,5,70,12373-M4873547,Mesopotamia,234000000,Entre 10 y 20 años,7026,7026,220000.0,1.0,venta_apartamento
1,1,3,21,11295-M4783206,UPTC TUNJA,110000000,Entre 5 y 10 años,21,21,110000000.0,,venta_apartamento
5,5,3,344,10159-M4455463,Tunja,300000000,Más de 20 años,344,344,,1.0,venta_casa
3,2,3,54,10159-M4897177,El Rodeo,210000000,Entre 0 y 5 años,54,51,150000.0,1.0,venta_apartamento
3,3,5,116,10159-M4578888,Mesopotamia,420000000,Entre 10 y 20 años,11642,11005,360000.0,1.0,venta_apartamento
3,2,4,63,10159-M3814487,Balcones De Don Espiritu,210000000,Entre 0 y 5 años,63,60,,1.0,venta_apartamento
3,2,3,62,10159-M4897203,La Florida,265000000,Entre 0 y 5 años,6232,60,160000.0,1.0,venta_apartamento
3,2,4,76,10159-M4898703,El Dorado,235000000,Entre 5 y 10 años,7653,73,208200.0,1.0,venta_apartamento
3,3,3,107,10159-M4947520,Tunja,270000000,Entre 0 y 5 años,107,104,,1.0,venta_casa
5,3,2,212,10159-M4945979,El Libertador,480000000,Más de 20 años,2128,3192,,,venta_casa
5,5,4,400,393-M4799667,Tunja,470000000,Entre 10 y 20 años,400,400,,2.0,
2,2,3,73,10159-M4958459,Zona Centro,174000000,Más de 20 años,73,73,54000.0,1.0,venta_apartamento
3,3,3,137,11295-M3471921,MANZANARES,327700000,Entre 10 y 20 años,137,137,356200.0,1.0,venta_apartamento
5,5,5,543,847-M4686008,Santa Helena,1900000000,Entre 10 y 20 años,543,543,500000.0,4.0,venta_apartamento
2,1,4,60,2147-M4454060,tunja,160000000,Entre 5 y 10 años,60,60,,,venta_apartamento
5,3,3,101,10159-M4912947,Los Muiscas,250000000,Más de 20 años,101,101,,,venta_casa
5,5,3,435,11295-M3487997,CONDOMINIO EL LAGO,750000000,Entre 5 y 10 años,435,435,220000.0,,venta_casa
4,3,5,135,10159-M4892536,Santa Ines,450000000,Más de 20 años,135,135,,1.0,
4,3,3,140,10159-M4892593,Balcones Del Norte,335000000,Entre 10 y 20 años,140,138,,1.0,
5,2,2,310,10159-M4892542,Zona Centro,500000000,Más de 20 años,310,310,,2.0,
4,2,3,190,11295-M4195326,COOSERVICIOS,250000000,Entre 10 y 20 años,190,190,,1.0,venta_casa
3,2,5,103,16742-M4849226,CAPITOLIO,260000000,Entre 5 y 10 años,103,103,230000.0,1.0,
3,2,4,61,16742-M4797363,MIRADOR DEL CENTRO,225000000,Entre 10 y 20 años,61,61,234000.0,1.0,
3,2,5,76,12373-M4870999,Innalteza,215000000,Entre 5 y 10 años,7636,7636,,1.0,venta_apartamento
5,5,3,280,11295-M3572887,PUENTE HAMACA,850000000,Entre 5 y 10 años,280,5380,,4.0,venta_casa
3,2,4,79,11295-M4204206,MALDONADO TUNJA,240000000,Entre 5 y 10 años,79,79,220000.0,1.0,venta_apartamento
3,2,4,122,11295-M4019770,CENTRO,300000000,Entre 5 y 10 años,122,122,250000.0,1.0,venta_apartamento
3,1,3,62,10159-M4957842,La Florida,130000000,Más de 20 años,62,60,,,venta_apartamento
4,3,3,250,3312-M4645187,URBANIZACION EL BOSQUE,420000000,Entre 5 y 10 años,250,286,420000000.0,2.0,venta_casa
3,2,3,150,11295-M4299919,CENTRO DE TUNJA,320000000,Entre 10 y 20 años,150,150,,1.0,venta_apartamento
1,1,5,40,13678-M4767093,SANTA INES,195000000,Entre 5 y 10 años,40,37,150000.0,1.0,venta_apartamento
4,3,4,168,11295-M3827533,Unicentro,480000000,Entre 10 y 20 años,1683,1683,,1.0,venta_casa
5,3,5,101,11295-M3357205,,600000000,Remodelado,101,101,,,venta_casa
5,4,5,187,MC4698620,Unicentro Tunja,495000000,Entre 10 y 20 años,187,187,,1.0,venta_casa
3,2,3,102,11295-M4545278,JUAN CASTELLANOS TUNJA,320000000,Entre 10 y 20 años,102,102,,1.0,venta_apartamento
5,3,5,101,11295-M3562129,Las Quintas,600000000,Entre 5 y 10 años,101,101,,,venta_casa
3,2,4,65,10159-M4261882,Tunja,240000000,Entre 5 y 10 años,6575,611,236000.0,1.0,venta_apartamento
3,3,4,60,10159-M4430069,Balcones De Don Espiritu,300000000,Entre 0 y 5 años,6093,6093,,1.0,venta_casa
3,2,3,82,11295-M4770235,MALDONADO TUNJA,220000000,Entre 10 y 20 años,82,82,220000000.0,1.0,venta_apartamento
2,2,3,49,10159-M4958724,El Libertador,160000000,Más de 20 años,49,48,,,venta_apartamento
2,2,3,354,11295-M3297796,SAN FRANCISCO,530427129,Entre 10 y 20 años,354,354,,,venta_casa
3,2,1,52,16742-M4884787,OIKOS MONTEVERDE,220000000,Entre 5 y 10 años,52,52,146000.0,1.0,venta_apartamento
