path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
6bd5-a4c8-1bfc2b17-3c2284aa93f5-3425,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,6bd5-a4c8-1bfc2b17-3c2284aa93f5-3425,3.0,2.0,88.6,330000000.0,,5.534,-73.362
9cfa-a566-27df2142-461b25a582d-39f8,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,9cfa-a566-27df2142-461b25a582d-39f8,2.0,2.0,57.0,180000000.0,,5.53,-73.363
af3e-af38-2350d6ec-e3df64f2fcc8-35e7,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,af3e-af38-2350d6ec-e3df64f2fcc8-35e7,3.0,2.0,54.34,200000000.0,,5.534,-73.362
47a0-b9d9-12961676-5a70f43edae7-336c,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,47a0-b9d9-12961676-5a70f43edae7-336c,3.0,2.0,76.0,265000000.0,,5.542,-73.358
7556-b46f-a849904c-3210660f9425-30d7,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7556-b46f-a849904c-3210660f9425-30d7,3.0,2.0,56.0,140000000.0,,5.528,-73.353
580b-872e-a7730d3b-fd51e4812e4f-4021,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,580b-872e-a7730d3b-fd51e4812e4f-4021,3.0,2.0,105.0,300000000.0,,5.534,-73.362
f957-8f37-50ea35f-6044e97b0ef6-3f0b,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,f957-8f37-50ea35f-6044e97b0ef6-3f0b,4.0,2.0,165.0,260000000.0,,5.533,-73.363
9a7d-a59c-7fc34f37-796c80b9e552-3221,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,9a7d-a59c-7fc34f37-796c80b9e552-3221,3.0,3.0,88.0,230000000.0,4.0,5.52701,-73.36154
f575-8795-18f9d98-60fd680a24c7-7940,Apartamento,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,f575-8795-18f9d98-60fd680a24c7-7940,3.0,3.0,95.0,540000000.0,4.0,5.532966,-73.367802
c45d-a95f-a421816f-f03d0bf9ed99-4fbd,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,c45d-a95f-a421816f-f03d0bf9ed99-4fbd,3.0,2.0,73.0,158000000.0,3.0,5.5278833,-73.3519163
