path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
3ce-909d-9049cb91-d7732676db9-3822,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,3ce-909d-9049cb91-d7732676db9-3822,3,2,"56,85m2",175.000.000,,5.528,-73.353
46b4-ab2f-f45244e-919030978ff2-367d,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,46b4-ab2f-f45244e-919030978ff2-367d,2,2,60m2,190.000.000,,5.516,-73.368
4d77-b17c-51a6133e-f88c3a762733-3adb,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,4d77-b17c-51a6133e-f88c3a762733-3adb,3,2,"74,2m2",230.000.000,,5.538,-73.359
35b3-b18f-18fcf10-6e525995ceef-7937,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,35b3-b18f-18fcf10-6e525995ceef-7937,3,2,100m2,400.000.000,,5.526,-73.366
2a95-b600-c655edbc-e9b526c34000-328b,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2a95-b600-c655edbc-e9b526c34000-328b,4,4,"182,1m2",600.000.000,,5.533,-73.363
abce-97d6-18fc4c3-a4a6b8da8b50-72aa,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,abce-97d6-18fc4c3-a4a6b8da8b50-72aa,4,2,100m2,250.000.000,,5.519,-73.367
b8d4-9c2e-bb3325b6-1ffed8a39813-3c1a,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,b8d4-9c2e-bb3325b6-1ffed8a39813-3c1a,4,3,173m2,406.000.000,,5.53,-73.365
f1f5-8277-ae0b8f35-436d10183f08-3357,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,f1f5-8277-ae0b8f35-436d10183f08-3357,3,2,"101,5m2",350.000.000,,5.527,-73.363
5f66-943c-7baeb92f-2c6f876b478a-384b,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,5f66-943c-7baeb92f-2c6f876b478a-384b,3,2,56m2,190.000.000,,5.529,-73.354
72a6-aa6b-145a3b73-facdfe396af6-3f8c,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,72a6-aa6b-145a3b73-facdfe396af6-3f8c,4,2,110m2,430.000.000,,5.534,-73.354
1602-953a-e5748659-e54c745f86a4-37df,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,1602-953a-e5748659-e54c745f86a4-37df,2,2,49m2,160.000.000,,5.525,-73.368
b2d1-a56c-7ada680b-f42455cd0e3b-38bf,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,b2d1-a56c-7ada680b-f42455cd0e3b-38bf,3,3,125m2,320.000.000,,5.53,-73.365
